Vídeo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Total,,,3544,459.9016,75,45111,4.6
EdFqUKNzQzg,BugreCast - Pré-Jogo - #23 - Botafogo-SP x Guarani - 11 Rodada - Campeonato Paulista 2020,"Jul 23, 2020",836,35.1892,8,16022,3.65
efXz7-hLH8Q,BugreCast - Pós-Jogo - #43 - Botafogo-SP x Guarani - 11 Rodada - Campeonato Paulista 2020,"Jul 24, 2020",261,21.9956,1,3514,4.47
JwR1t7R3uF0,"BugreCast - Mesa Redonda - #02 - Paulistão, Série B e Reforços","Aug 6, 2020",234,67.4896,6,907,11.36
Yz4uQAImMr0,"BugreCast - Mesa Redonda - #01 - Eliminação, Torneio do Interior e Série B","Jul 28, 2020",231,67.3712,7,900,15.44
FWePCUHkqWs,"BugreCast - Mesa Redonda - #03 - Inicio de campeonato, Carpini e Desempenho","Aug 13, 2020",216,67.5692,5,789,15.34
9J7GNqNrEeY,BugreCast - Pré-Jogo - #28 - CSA x Guarani - 1 Rodada - Série B 2020,"Aug 8, 2020",183,13.8116,5,1427,6.66
aBZiwgQuE8k,BugreCast - Pré-Jogo - #27 - Bragantino x Guarani - Final - Troféu do Interior,"Aug 4, 2020",154,20.7086,2,1481,4.86
vu27SgzXSv8,BugreCast - Pós-Jogo - #44 - Guarani x São Paulo - 12 Rodada - Campeonato Paulista 2020,"Jul 27, 2020",139,21.7239,3,723,9.54
7CjyvnsqOB8,BugreCast - Pré-Jogo - #24 - Guarani x São Paulo - 12 Rodada - Campeonato Paulista 2020,"Jul 26, 2020",131,14.1669,3,927,6.58
r1cI35U3xB4,BugreCast - Pós-Jogo - #48 - Botafogo-SP x Guarani - 3 Rodada - Série B 2020,"Aug 16, 2020",124,20.7354,0,503,16.9
43ekJyNpdyA,BugreCast - Pós-Jogo - #45 - Guarani x Ituano - Quartas de Final - Troféu do Interior,"Jul 30, 2020",121,14.0663,0,1275,5.57
rGjOy2iwlfg,BugreCast - Pós-Jogo - #47 - Guarani x Cruzeiro - 2 Rodada - Série B 2020,"Aug 12, 2020",120,19.457,3,679,8.98
s6T41cmJOzI,BugreCast - Pré-Jogo - #25 - Guarani x Ituano - Quartas de Final - Troféu do Interior,"Jul 29, 2020",119,10.0475,1,1738,3.57
AnR5V36RJss,BugreCast - Pós-Jogo - #46 - CSA x Guarani - 1 Rodada - Série B 2020,"Aug 10, 2020",117,15.7129,1,906,7.73
zU3FmnEM_PQ,BugreCast - Pré-Jogo - #29 - Guarani x Cruzeiro - 2 Rodada - Série B 2020,"Aug 11, 2020",107,16.2164,4,1013,5.82
lJwP-nFY_vw,BugreCast - Pré-Jogo - #30 - Botafogo-SP x Guarani - 3 Rodada - Série B 2020,"Aug 14, 2020",105,8.5281,1,650,8.62
Um2b8xIKLfc,BugreCast - Pré-Jogo - #26 - Inter de Limeira x Guarani - Semi-Final - Troféu do Interior,"Aug 1, 2020",82,8.8392,0,778,5.91
lgitMSlI4nE,BugreCast - Entrevista - #06 - O Comandante do Navio Bugrino (Thiago Carpini - Treinador do Guarani),"Apr 20, 2020",19,1.9996,0,390,2.56
llbfM-nbXzM,Pré-Jogo - #03 - Guarani x Botafogo-SP - 29 Rodada - Série B 2019,"Oct 14, 2019",19,0.0469,0,1009,1.39
FMrTZg3W4ms,BugreCast - Pré-Jogo - #31 - Guarani x Paraná - 4 Rodada - Série B 2020,"Aug 18, 2020",17,3.7572,,61,14.75
bKPrkRwav1U,BugreCast - Especial - #15 - O Bugre durante a pandemia,"Jul 20, 2020",17,1.6456,0,334,2.4
OLkV0rDwdnE,Pós-Jogo - #40 - Guarani - 10 Rodada - Campeonato Paulista 2020,"Mar 18, 2020",13,1.6049,0,364,1.92
6y2hxxX5GzA,Pós-jogo - #26 - Guarani x - 34 Rodada - Série B 2019,"Nov 11, 2019",12,0.0411,0,120,6.67
7zPJmoX6Ccg,Pós-Jogo - #02 - Botafogo-SP x Guarani - 10 Rodada - Série B 2019,"Jul 23, 2019",12,0.0848,0,475,2.32
C4X4GqhK4gc,BugreCast 100 - Um ano de BugreCast,"Jul 14, 2020",12,0.217,0,412,2.43
SA2hGpfpVp0,Entrevista - #01 - Um pouco de Guarani x Botafogo-SP (Vonei - Ex Atacante),"Jul 23, 2019",12,0.132,0,921,0.87
XWxRP4fbCMg,Pós-Jogo - #31 - Inter de Limeira x Guarani - 1 Rodada - Campeonato Paulista 2020,"Jan 23, 2020",11,0.5385,0,298,3.02
mAqRC1z4UQ4,BugreCast - Entrevista - #07 - A muralha verde (Jefferson Paulino - Goleiro),"Apr 27, 2020",11,2.1384,0,243,1.65
2wJvX0IOjUg,BugreCast - Brilhou Aqui - #06 - Sangaletti,"Jun 29, 2020",10,0.5386,0,122,2.46
9KzffcZpj2o,Entrevista - #03 - As histórias do Amaral (Amaral - Ex zagueiro),"Oct 4, 2019",6,0.0546,0,61,4.92
HGpDiS5JR2w,BugreCast - Pós-Jogo - #42 - Guarani x Palmeiras - Final - Campeonato Brasileiro 1978,"Jun 18, 2020",6,1.0141,0,126,2.38
Oac8-REMo4Y,BugreCast - Pós-Jogo - #39 - Ituano x Guarani - 9 Rodada - Campeonato Paulista 2020,"Mar 8, 2020",6,0.0399,0,315,1.9
er-6eNx-Wp4,"BugreCast - Brilhou Aqui - #04 - Oswaldo Alvarez ""Vadão""","May 8, 2020",6,0.6742,0,70,4.29
li9b70mYLTA,Pós-Jogo - #21 - Guarani x Botafogo-SP - 29 Rodada - Série B 2019,"Oct 15, 2019",6,0.0281,0,905,0.44
ciaPOXoEoIk,BugreCast - Especial - #09 - As páginas do Guarani,"Mar 23, 2020",5,0.3724,0,24,8.33
cqliS5WnVN4,BugreCast - Pré-Jogo - #21 - Ituano x Guarani - 9 Rodada - Campeonato Paulista 2020,"Mar 6, 2020",5,0.0272,0,338,1.18
Y10zh3RxeD8,Pré-Jogo - #07 - Bragantino x Guarani - 33 Rodada - Série B 2019,"Nov 5, 2019",4,0.0164,0,141,1.42
EmqnycPEWNU,BugreCast - Entrevista - #10 - O Bugre dos anos 90 (Edu Lima - Ex Atacante),"Jun 1, 2020",3,0.0086,0,124,1.61
J_t4qREbPe0,BugreCast - Especial - #11 - Meu jogo especial parte 1,"Mar 29, 2020",3,0.0147,0,25,4
dLOa20xe4Z8,BugreCast - Especial - #14 - Meu jogo especial parte 2,"Apr 17, 2020",3,0.2379,0,36,5.56
fAfxCxzdm-c,Pós-jogo - #25 - Bragantino x Guarani - 33 Rodada - Série B 2019,"Nov 7, 2019",3,0.0072,0,213,0.94
A4sCS3hXDno,Pós-Jogo - #15 - Guarani x Paraná - 23 Rodada - Série B 2019,"Sep 22, 2019",2,0.0011,,56,1.79
BHHmnzWXeeM,"BugreCast - Brilhou Aqui - #02 - Ailton ""Queixada""","Apr 1, 2020",2,0.0165,0,84,1.19
H08LkMG6QA0,BugreCast - Brilhou Aqui - #03 - Pereira,"Apr 23, 2020",2,0.007,0,31,3.23
JXIdJBjanCo,BugreCast - Pré-Jogo - #19 - Palmeiras x Guarani - 7 Rodada - Campeonato Paulista 2020,"Feb 20, 2020",2,0.0058,0,180,1.11
Na0DbL2HO4A,"BugreCast - #01 - Brilhou Aqui - Fabinho ""O Pequeno Polegar""","Mar 5, 2020",2,0.0228,0,79,0
WJXyiRtzTdc,Pós-Jogo - #06 - Guarani x Bragantino - 14 Rodada - Série B 2019,"Aug 5, 2019",2,0.0034,0,141,0.71
ZOnR1nJYNdM,BugreCast - Brilhou Aqui - #05 - Sérgio Neri,"May 28, 2020",2,0.1627,0,63,1.59
cbPzAp7y-Dk,Pré-Jogo - #13 - Inter de Limeira x Guarani - 1 Rodada - Campeonato Paulista 2020,"Jan 22, 2020",2,0.008,0,130,1.54
fTT3juog7XI,BugreCast - Pré-Jogo - #20 - Guarani x Água Santa - 8 Rodada - Campeonato Paulista 2020,"Feb 28, 2020",2,0.0158,0,123,1.63
l3J6f9eThWg,Pós-Jogo - #11 - Guarani x Londrina - 19 Rodada - Série B 2019,"Aug 30, 2019",2,0.003,0,18,5.56
oxM7P_NC5_A,BugreCast - Pré-Jogo - #22 - Guarani x - 10 Rodada - Campeonato Paulista 2020,"Mar 16, 2020",2,0.0025,0,107,0.93
1xxGN-hKH-Y,BugreCast - Pós-Jogo - #36 - Guarani x Novorizontino - 6 Rodada - Campeonato Paulista 2020,"Feb 17, 2020",1,0.0003,0,82,1.22
6MLY8HYffJ4,Pré-Jogo - #05 - São Bento x Guarani - 31 Rodada - Série B 2019,"Oct 26, 2019",1,0.0166,,141,0.71
7R0-ZgiXg48,Pós-jogo - #28 - Guarani x Operário - 36 Rodada - Série B 2019,"Nov 18, 2019",1,0.003,0,101,0.99
977_JjqY4kg,Guarani na História - #01 - Bugre no Paulistão (1927-1932),"Jan 4, 2020",1,0.0329,0,16,0
JK0ISPVVJLc,Especial - #02 - O Derbi que mais me marcou,"Aug 9, 2019",1,0.008,0,11,9.09
